stock,sector,strategy,note 
TRUE,สื่อสาร,EDCA,ควบรวมสำเร็จ กำไรฟื้น 
BH,โรงพยาบาล,EDCA,รพ.ท็อปเอเชีย ปันผลดี รอสงครามคลี่คลาย 
AOT,ท่องเที่ยว,EDCA,PSC ขึ้น มิ.ย.69 ท่องเที่ยวฟื้น 
SIRI,อสังหาฯ,EDCA,ปันผล 8-10%% เล่นรอบ XD 
HMPRO,ค้าปลีก,EDCA,ผู้นำตลาด รอมาตรการรัฐ 
CPAXT,ค้าปลีก,EDCA,รอ Turnaround หลังสงครามคลี่คลาย 
LH,อสังหาฯ,EDCA,ปันผล 6.76%% รอขายทำกำไร 
KTC,สินเชื่อ,EDCA,ROE สูง 18.5%% ปันผล 6.1%% 
DELTA,อิเล็กทรอนิกส์,EDCA,หุ้นเทคโนโลยี แข็งแกร่ง 
SCBSEMI,เซมิคอนดักเตอร์,EDCA,กองทุน Semiconductor โตตาม AI 
